target_index,variant,solver_status,success,pos_err_m,rot_err_rad,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
34,k_restarts,ok,true,0.000060153198845,0.000097243918688,-4.923173988663712,-0.342459147360256,-1.612583186630496,1.029654007288080,4.337604286094279,1.855489228711374
35,arm_cold,not_converged,false,0.073329353375643,0.065397410751273,-3.736150126658486,-4.465918709557995,3.141500000000000,-3.412358633352744,0.249706653656455,1.009965276005332
35,arm_restarts,ok,true,0.000023483395494,0.000130158904660,-3.904036941854774,-6.068151623669863,2.884020718336141,5.356674059335891,0.304215501138177,-5.854711922340044
35,k_cold,not_converged,false,,,,,,,,
35,k_restarts,not_converged,false,,,,,,,,
36,arm_cold,not_converged,false,0.258633272753599,0.904108056337787,-1.607576562836405,-2.537885620353623,3.141500000000000,0.156007117047771,-2.001163525218735,0.391684758458759
36,arm_restarts,ok,true,0.000098428484349,0.000030572813568,4.763811410509412,-5.044526975737517,2.226777259504220,-1.841442860073955,4.279569156658614,-5.986796175529149
36,k_cold,not_converged,false,,,,,,,,
36,k_restarts,ok,true,0.000075135271770,0.000123671103895,4.763672310025879,-5.044791480627737,2.226794376761821,-1.841248229179796,4.279566284346564,-5.986715854591495
37,arm_cold,ok,true,0.000000338130553,0.000002658565212,-2.914017321858611,-1.882906873333563,1.512101138749147,-2.891782335468523,1.345934651528686,-0.573617820321847
37,arm_restarts,ok,true,0.000000338130553,0.000002658565212,-2.914017321858611,-1.882906873333563,1.512101138749147,-2.891782335468523,1.345934651528686,-0.573617820321847
37,k_cold,not_converged,false,,,,,,,,
37,k_restarts,not_converged,false,,,,,,,,
38,arm_cold,ok,true,0.000000100965564,0.000000391292300,0.235627773309034,-1.261780319082301,1.997253601577024,-1.964561258867003,-2.503839334557860,2.903365861596588
38,arm_restarts,ok,true,0.000000100965564,0.000000391292300,0.235627773309034,-1.261780319082301,1.997253601577024,-1.964561258867003,-2.503839334557860,2.903365861596588
38,k_cold,ok,true,0.000056346494905,0.000141166390062,0.235648002062295,-1.261907516837035,1.997446176406417,-1.964780407511280,-2.503905506954040,2.903310842302293
38,k_restarts,ok,true,0.000056346494905,0.000141166390062,0.235648002062295,-1.261907516837035,1.997446176406417,-1.964780407511280,-2.503905506954040,2.903310842302293
39,arm_cold,ok,true,0.000000103182162,0.000000071218134,-3.057182398311619,-2.113201312811012,2.722852160846188,-1.098615802602283,-1.109876399781171,-1.169966261616550
39,arm_restarts,ok,true,0.000000103182162,0.000000071218134,-3.057182398311619,-2.113201312811012,2.722852160846188,-1.098615802602283,-1.109876399781171,-1.169966261616550
39,k_cold,ok,true,0.000058527200740,0.000138555580472,-3.057156518477714,-2.113496467482489,2.722870756396192,-1.098304491087957,-1.109766333937885,-1.170072179185465
