scene,scene_file,query_index,replicate,seed,in_house_status,oxmpl_status,oxmpl_detail,oxmpl_elapsed_ms,oxmpl_waypoints,oxmpl_path_cost_rad,oxmpl_path_sha256
open_floor,scene.xml,27,1,202608180271,failed,timeout,solve_timeout,250.00972200,0,0.00000000,
open_floor,scene.xml,27,2,202608180272,failed,timeout,solve_timeout,250.00059200,0,0.00000000,
open_floor,scene.xml,27,3,202608180273,failed,timeout,solve_timeout,250.01358200,0,0.00000000,
open_floor,scene.xml,27,4,202608180274,failed,timeout,solve_timeout,250.03577200,0,0.00000000,
open_floor,scene.xml,28,0,202608180280,failed,timeout,solve_timeout,250.02327200,0,0.00000000,
open_floor,scene.xml,28,1,202608180281,failed,timeout,solve_timeout,250.00974200,0,0.00000000,
open_floor,scene.xml,28,2,202608180282,failed,timeout,solve_timeout,250.01374200,0,0.00000000,
open_floor,scene.xml,28,3,202608180283,failed,timeout,solve_timeout,250.04368200,0,0.00000000,
open_floor,scene.xml,28,4,202608180284,failed,timeout,solve_timeout,250.00188200,0,0.00000000,
open_floor,scene.xml,29,0,202608180290,success,success,validated,6.42756900,52,12.37792760,00447d3d129575f639eba0f8e80274300d80c5fa5c7643c170f87639c220bddf
open_floor,scene.xml,29,1,202608180291,success,success,validated,3.48247500,83,20.50000000,18c4721df8e50b3825d821457f68afbb2b9db16e181d912620ebb10da08784ab
open_floor,scene.xml,29,2,202608180292,success,success,validated,12.12050000,126,31.25000000,60bc91a7aacc70f0577f5228d1019c808b02bbc3071d617c897cd1b4cff5a71c
open_floor,scene.xml,29,3,202608180293,success,success,validated,8.19395700,106,26.25000000,f7101792b9bd2c9771c953edc5d335fbc4f658392da3cddbfd9ad78289c832b1
open_floor,scene.xml,29,4,202608180294,success,success,validated,11.18910100,76,18.74999694,78f4f1cf9280b8bc1e9e66480c33d8625119300dd3f3f6937c5691de8f19a962
open_floor,scene.xml,30,0,202608180300,failed,timeout,solve_timeout,250.01605200,0,0.00000000,
open_floor,scene.xml,30,1,202608180301,failed,timeout,solve_timeout,250.00705200,0,0.00000000,
open_floor,scene.xml,30,2,202608180302,failed,timeout,solve_timeout,250.05032200,0,0.00000000,
open_floor,scene.xml,30,3,202608180303,failed,timeout,solve_timeout,250.02995200,0,0.00000000,
open_floor,scene.xml,30,4,202608180304,failed,timeout,solve_timeout,250.03551200,0,0.00000000,
open_floor,scene.xml,36,0,202608180360,failed,timeout,solve_timeout,250.00365200,0,0.00000000,
open_floor,scene.xml,36,1,202608180361,failed,timeout,solve_timeout,250.06902200,0,0.00000000,
open_floor,scene.xml,36,2,202608180362,failed,timeout,solve_timeout,250.00046200,0,0.00000000,
open_floor,scene.xml,36,3,202608180363,failed,timeout,solve_timeout,250.04122100,0,0.00000000,
open_floor,scene.xml,36,4,202608180364,failed,timeout,solve_timeout,250.03410200,0,0.00000000,
open_floor,scene.xml,40,0,202608180400,failed,timeout,solve_timeout,250.01006200,0,0.00000000,
open_floor,scene.xml,40,1,202608180401,failed,timeout,solve_timeout,250.02034200,0,0.00000000,
open_floor,scene.xml,40,2,202608180402,failed,timeout,solve_timeout,250.00899200,0,0.00000000,
open_floor,scene.xml,40,3,202608180403,failed,timeout,solve_timeout,250.03254200,0,0.00000000,
open_floor,scene.xml,40,4,202608180404,failed,timeout,solve_timeout,250.01693200,0,0.00000000,
open_floor,scene.xml,42,0,202608180420,failed,timeout,solve_timeout,250.04235200,0,0.00000000,
open_floor,scene.xml,42,1,202608180421,failed,timeout,solve_timeout,250.01909200,0,0.00000000,
open_floor,scene.xml,42,2,202608180422,failed,timeout,solve_timeout,250.00993200,0,0.00000000,
open_floor,scene.xml,42,3,202608180423,failed,timeout,solve_timeout,250.06183200,0,0.00000000,
open_floor,scene.xml,42,4,202608180424,failed,timeout,solve_timeout,250.04650200,0,0.00000000,
open_floor,scene.xml,43,0,202608180430,success,success,validated,9.73754400,128,31.75000000,348068a7b6c3e45d18e80ab57a88ea339eb7714f68ec3803fa4560cb5c647508
open_floor,scene.xml,43,1,202608180431,success,success,validated,24.08187000,130,32.25000000,11859f5ef5bfecaf76825fca32d6f4f8920b4a024aa98ebcb2d48530440d49e8
open_floor,scene.xml,43,2,202608180432,success,success,validated,6.27543000,81,19.99999859,05875a71b9c2c3d3c9d2f75c27034e45781d4aa450bb0538070c6cf5eaf1324d
open_floor,scene.xml,43,3,202608180433,success,success,validated,6.93014800,111,27.50000000,6131d7eb488278f8390e1446c96b223333947e8bcd71f9aea445e173067beb44
open_floor,scene.xml,43,4,202608180434,success,success,validated,3.04034500,65,15.99152433,91ad334123d2edb6589ef58b4ac3b8d886b0d2765a29d7e0d45e91317b9e7eb8
open_floor,scene.xml,44,0,202608180440,success,success,validated,7.76773700,128,31.75000000,cc747fc34b6a4ea25d5b2a99be9e24a2144f972796c88540f792197376718382
open_floor,scene.xml,44,1,202608180441,success,success,validated,7.75661700,133,33.00000000,b36615831f86dec9997fc28ea3f63f636c29852e794037377a69cab20ef3a7ae
open_floor,scene.xml,44,2,202608180442,success,success,validated,4.00261300,101,24.99999265,635e066710c560c96a039f4c42657dc1415281e8d447fd6b645ae6ceac665cf8
open_floor,scene.xml,44,3,202608180443,success,success,validated,15.20409500,135,33.50000000,cb7379b109324104a48c03e13339332bb71db27c51299eb65cf2c97628ece826
open_floor,scene.xml,44,4,202608180444,success,success,validated,12.50309000,149,37.00000000,c64b0d9e56ba463b2a16dcd38aa2eaa56d94e7c6408df1dd19109ed099095ecd
open_floor,scene.xml,45,0,202608180450,failed,timeout,solve_timeout,250.01745200,0,0.00000000,
open_floor,scene.xml,45,1,202608180451,failed,timeout,solve_timeout,250.00338200,0,0.00000000,
open_floor,scene.xml,45,2,202608180452,failed,timeout,solve_timeout,250.03510200,0,0.00000000,
open_floor,scene.xml,45,3,202608180453,failed,timeout,solve_timeout,250.03108200,0,0.00000000,
open_floor,scene.xml,45,4,202608180454,failed,timeout,solve_timeout,250.03527200,0,0.00000000,
open_floor,scene.xml,46,0,202608180460,failed,timeout,solve_timeout,250.03380300,0,0.00000000,
open_floor,scene.xml,46,1,202608180461,failed,timeout,solve_timeout,250.00271200,0,0.00000000,
open_floor,scene.xml,46,2,202608180462,failed,timeout,solve_timeout,250.00960200,0,0.00000000,
open_floor,scene.xml,46,3,202608180463,failed,timeout,solve_timeout,250.00290200,0,0.00000000,
open_floor,scene.xml,46,4,202608180464,failed,timeout,solve_timeout,250.00770200,0,0.00000000,
open_floor,scene.xml,47,0,202608180470,failed,timeout,solve_timeout,250.04221200,0,0.00000000,
open_floor,scene.xml,47,1,202608180471,failed,timeout,solve_timeout,250.02405200,0,0.00000000,
open_floor,scene.xml,47,2,202608180472,failed,timeout,solve_timeout,250.00587200,0,0.00000000,
open_floor,scene.xml,47,3,202608180473,failed,timeout,solve_timeout,250.00778200,0,0.00000000,
open_floor,scene.xml,47,4,202608180474,failed,timeout,solve_timeout,250.00406200,0,0.00000000,
open_floor,scene.xml,48,0,202608180480,failed,timeout,solve_timeout,250.00528200,0,0.00000000,
open_floor,scene.xml,48,1,202608180481,failed,timeout,solve_timeout,250.00786200,0,0.00000000,
open_floor,scene.xml,48,2,202608180482,failed,timeout,solve_timeout,250.02978200,0,0.00000000,
open_floor,scene.xml,48,3,202608180483,failed,timeout,solve_timeout,250.01436300,0,0.00000000,
open_floor,scene.xml,48,4,202608180484,failed,timeout,solve_timeout,250.00957300,0,0.00000000,
open_floor,scene.xml,49,0,202608180490,failed,timeout,solve_timeout,250.02331200,0,0.00000000,
open_floor,scene.xml,49,1,202608180491,failed,timeout,solve_timeout,250.02621200,0,0.00000000,
open_floor,scene.xml,49,2,202608180492,failed,timeout,solve_timeout,250.04927200,0,0.00000000,
open_floor,scene.xml,49,3,202608180493,failed,timeout,solve_timeout,250.03843200,0,0.00000000,
open_floor,scene.xml,49,4,202608180494,failed,timeout,solve_timeout,250.04172200,0,0.00000000,
open_floor,scene.xml,50,0,202608180500,success,success,validated,4.48660300,62,15.24561601,f1729eabdf0eaa86108814151bfcd309897190f3067615d63044ae67b5262f63
open_floor,scene.xml,50,1,202608180501,success,success,validated,5.43054100,64,15.65443472,b0e04fae6fad0f44bfc32a05d9a4ccfba88c5e2a2ffa378e90a51309744a1ca3
open_floor,scene.xml,50,2,202608180502,success,success,validated,4.40528200,68,16.72828734,1e0f40f96c92a61f89bee7d899cff288f0a21dd7c2c389492a3f051dd2997ba1
open_floor,scene.xml,50,3,202608180503,success,success,validated,9.08767500,85,20.99882840,91d47a8e5a78005e18dd27125cbbd6bbc314ec162c1e6fe47b13f64ced67ca54
open_floor,scene.xml,50,4,202608180504,success,success,validated,7.05095800,89,21.99999997,cb8017ea51b858ea050e87fe766536b29e8826cada10d0c7e4a3ea33f614389a
open_floor,scene.xml,51,0,202608180510,failed,timeout,solve_timeout,250.04318200,0,0.00000000,
open_floor,scene.xml,51,1,202608180511,failed,timeout,solve_timeout,250.06132200,0,0.00000000,
open_floor,scene.xml,51,2,202608180512,failed,timeout,solve_timeout,250.01742200,0,0.00000000,
open_floor,scene.xml,51,3,202608180513,failed,timeout,solve_timeout,250.06115200,0,0.00000000,
open_floor,scene.xml,51,4,202608180514,failed,timeout,solve_timeout,250.05273200,0,0.00000000,
open_floor,scene.xml,52,0,202608180520,failed,timeout,solve_timeout,250.02758200,0,0.00000000,
open_floor,scene.xml,52,1,202608180521,failed,timeout,solve_timeout,250.01605200,0,0.00000000,
open_floor,scene.xml,52,2,202608180522,failed,timeout,solve_timeout,250.02482300,0,0.00000000,
open_floor,scene.xml,52,3,202608180523,failed,timeout,solve_timeout,250.01706200,0,0.00000000,
open_floor,scene.xml,52,4,202608180524,failed,timeout,solve_timeout,250.02991200,0,0.00000000,
open_floor,scene.xml,56,0,202608180560,success,success,validated,18.40354900,88,21.73124645,c75a8a4db3e0ac0eab841e5e8ba6665922f311d3813971bfb129cd0891bbbd93
open_floor,scene.xml,56,1,202608180561,failed,success,validated,21.16755500,133,32.99999990,b2f01def4cab0533ffb7cde716727619cd055ce9958bcc992780203bf3a55194
open_floor,scene.xml,56,2,202608180562,failed,success,validated,8.31192700,68,16.73870613,3300be9fddcb2521d77286c31b02bd4cdafccab5abe2de59f39d6d897669ed2f
open_floor,scene.xml,56,3,202608180563,failed,success,validated,24.09706000,99,24.49749763,5298e3ee0a1727369a6214833b4e0839c78852f58ff462b41aacb2b503410726
open_floor,scene.xml,56,4,202608180564,success,success,validated,11.16433100,84,20.74014884,2fc660a3da928ed8fcbc6479f7e7ecd103609fb3e7b996a84b7f21c7ae66cc92
open_floor,scene.xml,57,0,202608180570,failed,timeout,solve_timeout,250.00190300,0,0.00000000,
open_floor,scene.xml,57,1,202608180571,failed,timeout,solve_timeout,250.03005200,0,0.00000000,
open_floor,scene.xml,57,2,202608180572,failed,timeout,solve_timeout,250.04940200,0,0.00000000,
open_floor,scene.xml,57,3,202608180573,failed,timeout,solve_timeout,250.00552200,0,0.00000000,
open_floor,scene.xml,57,4,202608180574,failed,timeout,solve_timeout,250.01652200,0,0.00000000,
